item,competitive_oracle_price,oracle_slate_count,mle_price,item_type,abs_price_gap
76,1.801125,8.0,1.997,Minority-preferred,0.19587500000000002
77,0.1758333333333333,6.0,0.741,Minority-preferred,0.5651666666666667
78,0.17599999999999996,6.0,2.249,Other items,2.073
79,0.16549999999999995,12.0,1.495,Other items,1.3295000000000001
80,0.32053846153846155,13.0,2.06,Minority-preferred,1.7394615384615384
81,0.16025,4.0,1.055,Other items,0.8947499999999999
82,0.21755555555555553,9.0,2.249,Minority-preferred,2.0314444444444444
83,0.16799999999999995,8.0,1.997,Other items,1.8290000000000002
84,0.134,9.0,0.741,Other items,0.607
85,0.17584615384615385,13.0,0.804,Other items,0.6281538461538462
86,0.16812499999999997,8.0,2.249,Minority-preferred,2.0808750000000003
87,0.20366666666666666,9.0,0.992,Other items,0.7883333333333333
88,0.20099999999999998,10.0,2.374,Other items,2.173
89,0.17173333333333335,15.0,0.615,Other items,0.44326666666666664
90,0.36400000000000005,6.0,1.746,Minority-preferred,1.382
91,0.16549999999999998,6.0,0.741,Other items,0.5755
92,0.17575,4.0,2.123,Other items,1.9472500000000001
93,0.21766666666666667,6.0,0.553,Other items,0.33533333333333337
94,0.16888888888888887,9.0,1.683,Other items,1.5141111111111112
95,0.155,3.0,2.06,Other items,1.905
96,0.176,1.0,2.123,Other items,1.9470000000000003
97,0.12875,4.0,1.621,Other items,1.49225
98,0.17575,8.0,1.621,Other items,1.44525
99,0.15237499999999998,8.0,2.374,Other items,2.221625
